ref_date,ref_hour,user_source,share_scene,share_count,share_user
2016/7/8,700,0,1,1,1
2016/7/8,800,0,2,2,2
2016/7/8,1400,0,2,1,1
2016/7/8,1400,0,5,1,1
2016/7/8,1600,0,1,1,1
2016/7/8,1800,0,1,2,1
2016/7/8,1900,0,1,4,1
2016/7/8,1900,0,2,1,1
2016/7/8,2000,0,1,3,3
2016/7/8,2000,0,2,1,1
2016/7/8,2100,0,5,1,1
2016/7/8,2200,0,1,1,1
2016/7/8,2200,0,2,1,1
2016/7/8,2300,0,1,1,1
2016/7/8,2300,0,2,1,1
2016/7/9,800,0,2,1,1
2016/7/9,1000,0,2,1,1
2016/7/9,1300,0,2,1,1
2016/7/9,2300,0,1,1,1
2016/7/10,1100,0,1,5,2
2016/7/10,1100,0,2,3,3
